,match,team_innings,batting_pos,BATTING,out/not out,R,B,M,4s,6s,SR,match_id
0,Namibia VS Sri Lanka,Namibia,0,Michael van Lingen,c Pramod Madushan b Chameera,3,6,7,0,0,50.00,T20I # 1823
1,Namibia VS Sri Lanka,Namibia,2,Divan la Cock,c Shanaka b Pramod Madushan,9,9,15,1,0,100.00,T20I # 1823
2,Namibia VS Sri Lanka,Namibia,4,Jan Nicol Loftie-Eaton,c †Mendis b Karunaratne,20,12,18,1,2,166.66,T20I # 1823
3,Namibia VS Sri Lanka,Namibia,6,Stephan Baard,c DM de Silva b Pramod Madushan,26,24,49,2,0,108.33,T20I # 1823
4,Namibia VS Sri Lanka,Namibia,8,Gerhard Erasmus (c),c Gunathilaka b PWH de Silva,20,24,30,0,0,83.33,T20I # 1823
5,Namibia VS Sri Lanka,Namibia,10,Jan Frylinck,run out (Gunathilaka/†Mendis),44,28,44,4,0,157.14,T20I # 1823
6,Namibia VS Sri Lanka,Namibia,12,David Wiese,c †Mendis b Theekshana,0,1,4,0,0,0.00,T20I # 1823
7,Namibia VS Sri Lanka,Namibia,14,JJ Smit,not out,31,16,29,2,2,193.75,T20I # 1823
8,Namibia VS Sri Lanka,Sri Lanka,0,Pathum Nissanka,c Smit b Shikongo,9,10,16,1,0,90.00,T20I # 1823
9,Namibia VS Sri Lanka,Sri Lanka,2,Kusal Mendis †,c †Green b Wiese,6,6,8,0,0,100.00,T20I # 1823
10,Namibia VS Sri Lanka,Sri Lanka,4,Dhananjaya de Silva,c Shikongo b Frylinck,12,11,25,1,0,109.09,T20I # 1823
11,Namibia VS Sri Lanka,Sri Lanka,6,Danushka Gunathilaka,c †Green b Shikongo,0,1,2,0,0,0.00,T20I # 1823
12,Namibia VS Sri Lanka,Sri Lanka,8,Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,39,2,0,95.23,T20I # 1823
13,Namibia VS Sri Lanka,Sri Lanka,10,Dasun Shanaka (c),c †Green b Frylinck,29,23,37,2,1,126.08,T20I # 1823
14,Namibia VS Sri Lanka,Sri Lanka,12,Wanindu Hasaranga de Silva,c Loftie-Eaton b Scholtz,4,8,9,0,0,50.00,T20I # 1823
15,Namibia VS Sri Lanka,Sri Lanka,14,Chamika Karunaratne,c Baard b Smit,5,8,15,0,0,62.50,T20I # 1823
16,Namibia VS Sri Lanka,Sri Lanka,16,Pramod Madushan,run out (van Lingen/†Green),0,0,4,0,0,-,T20I # 1823
17,Namibia VS Sri Lanka,Sri Lanka,18,Dushmantha Chameera,c Erasmus b Wiese,8,15,20,0,0,53.33,T20I # 1823
