,match,bowling_team,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,match_id
0,Namibia VS Sri Lanka,Namibia,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0,T20I # 1823
1,Namibia VS Sri Lanka,Namibia,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0,T20I # 1823
2,Namibia VS Sri Lanka,Namibia,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0,T20I # 1823
3,Namibia VS Sri Lanka,Namibia,Chamika Karunaratne,4,0,36,1,9.00,7,3,1,1,0,T20I # 1823
4,Namibia VS Sri Lanka,Namibia,Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,0,0,T20I # 1823
5,Namibia VS Sri Lanka,Sri Lanka,Gerhard Erasmus,1,0,8,0,8.00,1,1,0,0,0,T20I # 1823
6,Namibia VS Sri Lanka,Sri Lanka,David Wiese,4,0,16,2,4.00,13,1,0,0,0,T20I # 1823
7,Namibia VS Sri Lanka,Sri Lanka,Bernard Scholtz,4,0,18,2,4.50,10,1,0,0,0,T20I # 1823
8,Namibia VS Sri Lanka,Sri Lanka,Ben Shikongo,3,1,22,2,7.33,6,3,0,0,0,T20I # 1823
9,Namibia VS Sri Lanka,Sri Lanka,JJ Smit,3,0,16,1,5.33,7,0,0,1,0,T20I # 1823
10,Namibia VS Sri Lanka,Sri Lanka,Jan Frylinck,4,0,26,2,6.50,10,0,2,1,0,T20I # 1823
11,United Arab Emirates VS Netherlands,United Arab Emirates,Fred Klaassen,4,0,13,2,3.25,18,0,0,3,0,T20I # 1825
12,United Arab Emirates VS Netherlands,United Arab Emirates,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0,T20I # 1825
13,United Arab Emirates VS Netherlands,United Arab Emirates,Logan van Beek,2,0,19,0,9.50,5,0,2,1,0,T20I # 1825
14,United Arab Emirates VS Netherlands,United Arab Emirates,Bas de Leede,3,0,19,3,6.33,9,2,0,2,0,T20I # 1825
15,United Arab Emirates VS Netherlands,United Arab Emirates,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0,T20I # 1825
16,United Arab Emirates VS Netherlands,United Arab Emirates,Roelof van der Merwe,3,0,19,1,6.33,7,0,1,0,0,T20I # 1825
17,United Arab Emirates VS Netherlands,Netherlands,Junaid Siddique,4,0,24,3,6.00,10,2,0,1,0,T20I # 1825
18,United Arab Emirates VS Netherlands,Netherlands,Basil Hameed,1,0,7,1,7.00,4,0,1,0,0,T20I # 1825
19,United Arab Emirates VS Netherlands,Netherlands,Aayan Afzal Khan,3,0,15,1,5.00,8,1,0,0,0,T20I # 1825
20,United Arab Emirates VS Netherlands,Netherlands,Karthik Meiyappan,4,0,22,1,5.50,11,2,0,0,0,T20I # 1825
21,United Arab Emirates VS Netherlands,Netherlands,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0,T20I # 1825
22,United Arab Emirates VS Netherlands,Netherlands,Zawar Farid,2.5,0,24,0,8.47,2,2,0,0,0,T20I # 1825
23,United Arab Emirates VS Netherlands,Netherlands,Kashif Daud,1,0,5,0,5.00,1,0,0,0,0,T20I # 1825
24,Scotland VS West Indies,Scotland,Kyle Mayers,2,0,24,0,12.00,5,5,0,2,0,T20I # 1826
25,Scotland VS West Indies,Scotland,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0,T20I # 1826
26,Scotland VS West Indies,Scotland,Alzarri Joseph,4,0,28,2,7.00,9,3,0,2,0,T20I # 1826
27,Scotland VS West Indies,Scotland,Obed McCoy,3,0,25,0,8.33,6,4,0,0,0,T20I # 1826
28,Scotland VS West Indies,Scotland,Jason Holder,3,0,14,2,4.66,8,1,0,0,0,T20I # 1826
29,Scotland VS West Indies,Scotland,Odean Smith,4,0,31,1,7.75,6,3,0,1,0,T20I # 1826
30,Scotland VS West Indies,West Indies,Mark Watt,4,0,12,3,3.00,16,1,0,1,0,T20I # 1826
31,Scotland VS West Indies,West Indies,Brad Wheal,4,0,32,2,8.00,10,4,1,0,0,T20I # 1826
32,Scotland VS West Indies,West Indies,Josh Davey,3,0,34,1,11.33,8,4,2,1,0,T20I # 1826
33,Scotland VS West Indies,West Indies,Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,2,0,T20I # 1826
34,Scotland VS West Indies,West Indies,Michael Leask,4,0,15,2,3.75,11,0,0,1,0,T20I # 1826
35,Zimbabwe VS Ireland,Zimbabwe,Josh Little,4,0,24,3,6.00,11,3,0,0,0,T20I # 1828
36,Zimbabwe VS Ireland,Zimbabwe,Mark Adair,4,0,39,2,9.75,6,3,1,2,0,T20I # 1828
37,Zimbabwe VS Ireland,Zimbabwe,Barry McCarthy,4,0,24,0,6.00,11,2,0,2,0,T20I # 1828
38,Zimbabwe VS Ireland,Zimbabwe,Curtis Campher,3,0,29,0,9.66,6,2,2,0,0,T20I # 1828
39,Zimbabwe VS Ireland,Zimbabwe,Simi Singh,3,0,31,2,10.33,5,2,2,1,0,T20I # 1828
40,Zimbabwe VS Ireland,Zimbabwe,Gareth Delany,2,0,21,0,10.50,4,2,1,1,0,T20I # 1828
41,Zimbabwe VS Ireland,Ireland,Richard Ngarava,4,0,22,2,5.50,13,3,0,0,0,T20I # 1828
42,Zimbabwe VS Ireland,Ireland,Tendai Chatara,4,0,22,2,5.50,13,1,1,2,0,T20I # 1828
43,Zimbabwe VS Ireland,Ireland,Blessing Muzarabani,4,0,23,3,5.75,14,0,2,0,1,T20I # 1828
44,Zimbabwe VS Ireland,Ireland,Luke Jongwe,2,0,24,0,12.00,1,4,0,0,0,T20I # 1828
45,Zimbabwe VS Ireland,Ireland,Sean Williams,3,0,20,1,6.66,3,0,0,0,0,T20I # 1828
46,Zimbabwe VS Ireland,Ireland,Sikandar Raza,3,0,22,1,7.33,8,1,1,1,0,T20I # 1828
47,Namibia VS Netherlands,Namibia,Fred Klaassen,3,0,15,0,5.00,11,1,0,0,0,T20I # 1830
48,Namibia VS Netherlands,Namibia,Tim Pringle,3,0,15,1,5.00,8,0,0,0,0,T20I # 1830
49,Namibia VS Netherlands,Namibia,Bas de Leede,3,0,18,2,6.00,6,1,0,0,0,T20I # 1830
50,Namibia VS Netherlands,Namibia,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0,T20I # 1830
51,Namibia VS Netherlands,Namibia,Paul van Meekeren,4,0,18,1,4.50,11,1,0,1,0,T20I # 1830
52,Namibia VS Netherlands,Namibia,Timm van der Gugten,3,0,29,0,9.66,4,1,1,2,0,T20I # 1830
53,Namibia VS Netherlands,Namibia,Roelof van der Merwe,1,0,6,1,6.00,1,0,0,1,0,T20I # 1830
54,Namibia VS Netherlands,Netherlands,Bernard Scholtz,4,0,21,1,5.25,10,0,1,0,0,T20I # 1830
55,Namibia VS Netherlands,Netherlands,David Wiese,2.3,0,22,0,8.80,4,3,0,0,0,T20I # 1830
56,Namibia VS Netherlands,Netherlands,Gerhard Erasmus,3,0,13,0,4.33,8,0,0,1,0,T20I # 1830
57,Namibia VS Netherlands,Netherlands,Ben Shikongo,1,0,18,0,18.00,1,0,2,1,0,T20I # 1830
58,Namibia VS Netherlands,Netherlands,JJ Smit,4,0,24,2,6.00,9,2,0,0,0,T20I # 1830
59,Namibia VS Netherlands,Netherlands,Jan Frylinck,4,1,16,1,4.00,11,1,0,0,0,T20I # 1830
60,Namibia VS Netherlands,Netherlands,Jan Nicol Loftie-Eaton,1,0,8,0,8.00,2,1,0,0,1,T20I # 1830
61,Sri Lanka VS United Arab Emirates,Sri Lanka,Junaid Siddique,4,0,36,0,9.00,8,2,1,2,0,T20I # 1832
62,Sri Lanka VS United Arab Emirates,Sri Lanka,Kashif Daud,1,0,14,0,14.00,0,2,0,0,0,T20I # 1832
63,Sri Lanka VS United Arab Emirates,Sri Lanka,Zahoor Khan,4,0,26,2,6.50,10,3,0,0,0,T20I # 1832
64,Sri Lanka VS United Arab Emirates,Sri Lanka,Aayan Afzal Khan,3,0,16,1,5.33,7,1,0,0,0,T20I # 1832
65,Sri Lanka VS United Arab Emirates,Sri Lanka,Aryan Lakra,3,0,24,1,8.00,5,3,0,0,0,T20I # 1832
66,Sri Lanka VS United Arab Emirates,Sri Lanka,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0,T20I # 1832
67,Sri Lanka VS United Arab Emirates,Sri Lanka,Basil Hameed,1,0,13,0,13.00,1,1,1,0,0,T20I # 1832
68,Sri Lanka VS United Arab Emirates,United Arab Emirates,Pramod Madushan,3,0,14,1,4.66,12,2,0,1,0,T20I # 1832
69,Sri Lanka VS United Arab Emirates,United Arab Emirates,Maheesh Theekshana,3.1,0,15,2,4.73,10,2,0,0,0,T20I # 1832
70,Sri Lanka VS United Arab Emirates,United Arab Emirates,Dushmantha Chameera,3.5,0,15,3,3.91,16,0,1,0,0,T20I # 1832
71,Sri Lanka VS United Arab Emirates,United Arab Emirates,Chamika Karunaratne,2,0,14,0,7.00,5,2,0,0,0,T20I # 1832
72,Sri Lanka VS United Arab Emirates,United Arab Emirates,Wanindu Hasaranga de Silva,4,1,8,3,2.00,17,0,0,0,0,T20I # 1832
73,Sri Lanka VS United Arab Emirates,United Arab Emirates,Dasun Shanaka,1.1,0,7,1,6.00,3,0,0,1,0,T20I # 1832
74,Scotland VS Ireland,Scotland,Josh Little,4,0,30,1,7.50,10,2,1,1,0,T20I # 1833
75,Scotland VS Ireland,Scotland,Mark Adair,4,0,23,1,5.75,12,2,0,2,0,T20I # 1833
76,Scotland VS Ireland,Scotland,Barry McCarthy,4,0,59,0,14.75,4,6,3,1,1,T20I # 1833
77,Scotland VS Ireland,Scotland,Gareth Delany,3,0,28,0,9.33,3,2,1,0,0,T20I # 1833
78,Scotland VS Ireland,Scotland,Simi Singh,2,0,16,0,8.00,2,2,0,0,0,T20I # 1833
79,Scotland VS Ireland,Scotland,Curtis Campher,2,0,9,2,4.50,7,1,0,0,0,T20I # 1833
80,Scotland VS Ireland,Scotland,George Dockrell,1,0,9,0,9.00,1,1,0,0,0,T20I # 1833
81,Scotland VS Ireland,Ireland,Mark Watt,4,0,39,1,9.75,10,2,1,2,0,T20I # 1833
82,Scotland VS Ireland,Ireland,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0,T20I # 1833
83,Scotland VS Ireland,Ireland,Josh Davey,4,0,46,0,11.50,5,8,0,1,0,T20I # 1833
84,Scotland VS Ireland,Ireland,Safyaan Sharif,3,0,32,1,10.66,3,4,0,1,0,T20I # 1833
85,Scotland VS Ireland,Ireland,Chris Greaves,2,0,18,0,9.00,1,0,1,1,0,T20I # 1833
86,Scotland VS Ireland,Ireland,Michael Leask,2,0,16,1,8.00,2,1,0,0,0,T20I # 1833
87,West Indies VS Zimbabwe,West Indies,Richard Ngarava,3,0,20,0,6.66,9,1,1,1,0,T20I # 1834
88,West Indies VS Zimbabwe,West Indies,Tendai Chatara,3,0,22,0,7.33,5,2,0,2,0,T20I # 1834
89,West Indies VS Zimbabwe,West Indies,Blessing Muzarabani,4,0,38,2,9.50,10,2,2,2,1,T20I # 1834
90,West Indies VS Zimbabwe,West Indies,Ryan Burl,3,0,27,0,9.00,5,3,1,0,0,T20I # 1834
91,West Indies VS Zimbabwe,West Indies,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0,T20I # 1834
92,West Indies VS Zimbabwe,West Indies,Sean Williams,3,0,17,1,5.66,7,1,0,0,1,T20I # 1834
93,West Indies VS Zimbabwe,Zimbabwe,Kyle Mayers,1,0,17,0,17.00,3,3,0,1,0,T20I # 1834
94,West Indies VS Zimbabwe,Zimbabwe,Akeal Hosein,4,0,25,1,6.25,12,1,1,1,1,T20I # 1834
95,West Indies VS Zimbabwe,Zimbabwe,Alzarri Joseph,4,0,16,4,4.00,16,1,1,0,0,T20I # 1834
96,West Indies VS Zimbabwe,Zimbabwe,Obed McCoy,3,0,19,1,6.33,9,3,0,0,0,T20I # 1834
97,West Indies VS Zimbabwe,Zimbabwe,Jason Holder,3.2,0,12,3,3.60,12,1,0,0,0,T20I # 1834
98,West Indies VS Zimbabwe,Zimbabwe,Odean Smith,3,0,31,1,10.33,8,4,1,1,1,T20I # 1834
99,Sri Lanka VS Netherlands,Sri Lanka,Fred Klaassen,4,0,34,1,8.50,9,1,2,0,0,T20I # 1835
100,Sri Lanka VS Netherlands,Sri Lanka,Tim Pringle,3,0,22,0,7.33,8,0,2,0,0,T20I # 1835
101,Sri Lanka VS Netherlands,Sri Lanka,Roelof van der Merwe,3,0,16,0,5.33,10,2,0,0,0,T20I # 1835
102,Sri Lanka VS Netherlands,Sri Lanka,Paul van Meekeren,4,0,25,2,6.25,11,3,0,1,0,T20I # 1835
103,Sri Lanka VS Netherlands,Sri Lanka,Bas de Leede,3,0,31,2,10.33,5,2,2,0,0,T20I # 1835
104,Sri Lanka VS Netherlands,Sri Lanka,Timm van der Gugten,3,0,31,1,10.33,3,2,1,0,0,T20I # 1835
105,Sri Lanka VS Netherlands,Netherlands,Dhananjaya de Silva,1,0,5,0,5.00,1,0,0,0,0,T20I # 1835
106,Sri Lanka VS Netherlands,Netherlands,Lahiru Kumara,4,0,28,1,7.00,14,2,1,1,0,T20I # 1835
107,Sri Lanka VS Netherlands,Netherlands,Binura Fernando,4,0,33,1,8.25,11,4,1,1,0,T20I # 1835
108,Sri Lanka VS Netherlands,Netherlands,Maheesh Theekshana,4,0,32,2,8.00,12,1,2,2,1,T20I # 1835
109,Sri Lanka VS Netherlands,Netherlands,Wanindu Hasaranga de Silva,4,0,28,3,7.00,11,3,0,0,0,T20I # 1835
110,Sri Lanka VS Netherlands,Netherlands,Chamika Karunaratne,2,0,11,0,5.50,6,1,0,1,0,T20I # 1835
111,Sri Lanka VS Netherlands,Netherlands,Dasun Shanaka,1,0,7,0,7.00,3,1,0,0,0,T20I # 1835
112,United Arab Emirates VS Namibia,United Arab Emirates,Ruben Trumpelmann,4,0,22,0,5.50,10,0,0,3,0,T20I # 1836
113,United Arab Emirates VS Namibia,United Arab Emirates,David Wiese,4,0,27,1,6.75,12,2,1,1,0,T20I # 1836
114,United Arab Emirates VS Namibia,United Arab Emirates,Bernard Scholtz,4,0,22,1,5.50,11,1,1,0,0,T20I # 1836
115,United Arab Emirates VS Namibia,United Arab Emirates,JJ Smit,4,0,39,0,9.75,11,2,3,0,0,T20I # 1836
116,United Arab Emirates VS Namibia,United Arab Emirates,Jan Frylinck,3,0,30,0,10.00,3,2,1,1,0,T20I # 1836
117,United Arab Emirates VS Namibia,United Arab Emirates,Ben Shikongo,1,0,8,1,8.00,1,1,0,0,0,T20I # 1836
118,United Arab Emirates VS Namibia,Namibia,Basil Hameed,3,0,17,2,5.66,10,2,0,0,0,T20I # 1836
119,United Arab Emirates VS Namibia,Namibia,Junaid Siddique,4,0,35,1,8.75,8,3,1,2,0,T20I # 1836
120,United Arab Emirates VS Namibia,Namibia,Zahoor Khan,4,0,20,2,5.00,15,1,0,2,2,T20I # 1836
121,United Arab Emirates VS Namibia,Namibia,Ahmed Raza,1,0,9,0,9.00,1,1,0,0,0,T20I # 1836
122,United Arab Emirates VS Namibia,Namibia,Karthik Meiyappan,4,0,34,1,8.50,8,2,2,0,0,T20I # 1836
123,United Arab Emirates VS Namibia,Namibia,Aayan Afzal Khan,2,0,7,0,3.50,5,0,0,0,0,T20I # 1836
124,United Arab Emirates VS Namibia,Namibia,Muhammad Waseem,2,0,16,1,8.00,3,0,1,0,0,T20I # 1836
125,West Indies VS Ireland,West Indies,Josh Little,4,0,31,0,7.75,8,1,2,1,0,T20I # 1837
126,West Indies VS Ireland,West Indies,Mark Adair,4,0,26,0,6.50,12,1,1,4,0,T20I # 1837
127,West Indies VS Ireland,West Indies,Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0,T20I # 1837
128,West Indies VS Ireland,West Indies,Curtis Campher,2,0,28,0,14.00,2,4,1,0,0,T20I # 1837
129,West Indies VS Ireland,West Indies,Simi Singh,2,0,11,1,5.50,4,1,0,0,0,T20I # 1837
130,West Indies VS Ireland,West Indies,Gareth Delany,4,0,16,3,4.00,12,1,0,1,0,T20I # 1837
131,West Indies VS Ireland,Ireland,Obed McCoy,3.3,0,27,0,7.71,11,2,2,0,0,T20I # 1837
132,West Indies VS Ireland,Ireland,Akeal Hosein,4,0,38,1,9.50,5,2,2,0,0,T20I # 1837
133,West Indies VS Ireland,Ireland,Alzarri Joseph,4,0,39,0,9.75,9,3,2,1,0,T20I # 1837
134,West Indies VS Ireland,Ireland,Odean Smith,2,0,23,0,11.50,4,3,1,0,1,T20I # 1837
135,West Indies VS Ireland,Ireland,Jason Holder,4,0,23,0,5.75,7,1,0,0,0,T20I # 1837
136,Scotland VS Zimbabwe,Scotland,Tendai Chatara,4,1,14,2,3.50,14,1,0,0,0,T20I # 1838
137,Scotland VS Zimbabwe,Scotland,Richard Ngarava,4,0,28,2,7.00,12,4,0,1,1,T20I # 1838
138,Scotland VS Zimbabwe,Scotland,Blessing Muzarabani,4,0,34,1,8.50,9,5,0,0,2,T20I # 1838
139,Scotland VS Zimbabwe,Scotland,Sean Williams,3,0,19,0,6.33,4,1,0,0,0,T20I # 1838
140,Scotland VS Zimbabwe,Scotland,Sikandar Raza,4,0,20,1,5.00,10,0,0,2,0,T20I # 1838
141,Scotland VS Zimbabwe,Scotland,Wessly Madhevere,1,0,7,0,7.00,1,0,0,0,0,T20I # 1838
142,Scotland VS Zimbabwe,Zimbabwe,Brad Wheal,4,0,26,1,6.50,12,4,0,0,0,T20I # 1838
143,Scotland VS Zimbabwe,Zimbabwe,Josh Davey,3,0,16,2,5.33,8,1,0,0,1,T20I # 1838
144,Scotland VS Zimbabwe,Zimbabwe,Safyaan Sharif,2.3,0,23,0,9.20,4,3,0,0,1,T20I # 1838
145,Scotland VS Zimbabwe,Zimbabwe,Mark Watt,4,0,19,1,4.75,9,1,0,0,0,T20I # 1838
146,Scotland VS Zimbabwe,Zimbabwe,Michael Leask,4,0,36,1,9.00,4,2,1,0,0,T20I # 1838
147,Scotland VS Zimbabwe,Zimbabwe,Calum MacLeod,1,0,11,0,11.00,0,0,1,0,0,T20I # 1838
148,New Zealand VS Australia,New Zealand,Mitchell Starc,4,0,36,0,9.00,5,3,1,0,0,T20I # 1839
149,New Zealand VS Australia,New Zealand,Josh Hazlewood,4,0,41,2,10.25,8,5,1,1,0,T20I # 1839
150,New Zealand VS Australia,New Zealand,Pat Cummins,4,0,46,0,11.50,8,4,2,2,0,T20I # 1839
151,New Zealand VS Australia,New Zealand,Marcus Stoinis,4,0,38,0,9.50,3,1,2,1,0,T20I # 1839
152,New Zealand VS Australia,New Zealand,Adam Zampa,4,0,39,1,9.75,4,2,2,1,0,T20I # 1839
153,New Zealand VS Australia,Australia,Trent Boult,4,0,24,2,6.00,13,2,1,1,0,T20I # 1839
154,New Zealand VS Australia,Australia,Tim Southee,2.1,0,6,3,2.76,10,1,0,0,0,T20I # 1839
155,New Zealand VS Australia,Australia,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0,T20I # 1839
156,New Zealand VS Australia,Australia,Lockie Ferguson,3,0,20,1,6.66,9,2,1,0,0,T20I # 1839
157,New Zealand VS Australia,Australia,Ish Sodhi,4,0,29,1,7.25,8,2,1,1,0,T20I # 1839
158,Afghanistan VS England,Afghanistan,Ben Stokes,4,0,19,2,4.75,14,2,0,1,0,T20I # 1840
159,Afghanistan VS England,Afghanistan,Chris Woakes,4,0,24,1,6.00,15,2,1,1,0,T20I # 1840
160,Afghanistan VS England,Afghanistan,Mark Wood,4,0,23,2,5.75,14,2,1,0,0,T20I # 1840
161,Afghanistan VS England,Afghanistan,Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0,T20I # 1840
162,Afghanistan VS England,Afghanistan,Adil Rashid,4,0,32,0,8.00,4,1,1,0,0,T20I # 1840
163,Afghanistan VS England,England,Fazalhaq Farooqi,4,0,24,1,6.00,15,2,1,3,0,T20I # 1840
164,Afghanistan VS England,England,Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0,T20I # 1840
165,Afghanistan VS England,England,Mujeeb Ur Rahman,4,0,22,1,5.50,10,1,0,0,0,T20I # 1840
166,Afghanistan VS England,England,Rashid Khan,4,0,17,1,4.25,10,0,0,0,0,T20I # 1840
167,Afghanistan VS England,England,Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0,T20I # 1840
168,Afghanistan VS England,England,Mohammad Nabi,3,0,16,1,5.33,6,0,0,0,0,T20I # 1840
169,Ireland VS Sri Lanka,Ireland,Binura Fernando,4,0,27,1,6.75,10,3,0,1,0,T20I # 1841
170,Ireland VS Sri Lanka,Ireland,Lahiru Kumara,2,0,12,1,6.00,6,2,0,0,0,T20I # 1841
171,Ireland VS Sri Lanka,Ireland,Maheesh Theekshana,4,0,19,2,4.75,8,1,0,0,0,T20I # 1841
172,Ireland VS Sri Lanka,Ireland,Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0,T20I # 1841
173,Ireland VS Sri Lanka,Ireland,Wanindu Hasaranga de Silva,4,0,25,2,6.25,6,0,1,0,0,T20I # 1841
174,Ireland VS Sri Lanka,Ireland,Dhananjaya de Silva,2,0,13,1,6.50,3,1,0,0,0,T20I # 1841
175,Ireland VS Sri Lanka,Sri Lanka,Josh Little,4,0,45,0,11.25,5,4,1,1,0,T20I # 1841
176,Ireland VS Sri Lanka,Sri Lanka,Mark Adair,2,0,16,0,8.00,2,1,0,0,0,T20I # 1841
177,Ireland VS Sri Lanka,Sri Lanka,Barry McCarthy,2,0,16,0,8.00,4,0,1,0,0,T20I # 1841
178,Ireland VS Sri Lanka,Sri Lanka,Gareth Delany,4,0,28,1,7.00,8,3,0,2,0,T20I # 1841
179,Ireland VS Sri Lanka,Sri Lanka,Curtis Campher,1,0,8,0,8.00,2,1,0,0,0,T20I # 1841
180,Ireland VS Sri Lanka,Sri Lanka,Simi Singh,2,0,20,0,10.00,3,0,2,0,0,T20I # 1841
181,Pakistan VS India,Pakistan,Bhuvneshwar Kumar,4,0,22,1,5.50,17,1,1,3,0,T20I # 1842
182,Pakistan VS India,Pakistan,Arshdeep Singh,4,0,32,3,8.00,10,3,1,1,0,T20I # 1842
183,Pakistan VS India,Pakistan,Mohammed Shami,4,0,25,1,6.25,14,4,0,1,0,T20I # 1842
184,Pakistan VS India,Pakistan,Hardik Pandya,4,0,30,3,7.50,10,4,0,0,0,T20I # 1842
185,Pakistan VS India,Pakistan,Ravichandran Ashwin,3,0,23,0,7.66,5,0,1,1,0,T20I # 1842
186,Pakistan VS India,Pakistan,Axar Patel,1,0,21,0,21.00,2,0,3,0,0,T20I # 1842
187,Pakistan VS India,India,Shaheen Shah Afridi,4,0,34,0,8.50,7,4,0,1,0,T20I # 1842
188,Pakistan VS India,India,Naseem Shah,4,0,23,1,5.75,10,1,0,0,0,T20I # 1842
189,Pakistan VS India,India,Haris Rauf,4,0,36,2,9.00,11,2,2,1,0,T20I # 1842
190,Pakistan VS India,India,Shadab Khan,4,0,21,0,5.25,10,2,0,0,0,T20I # 1842
191,Pakistan VS India,India,Mohammad Nawaz,4,0,42,2,10.50,8,0,4,2,1,T20I # 1842
192,Bangladesh VS Netherlands,Bangladesh,Fred Klaassen,4,0,33,1,8.25,10,5,0,3,0,T20I # 1843
193,Bangladesh VS Netherlands,Bangladesh,Colin Ackermann,1,0,4,0,4.00,2,0,0,0,0,T20I # 1843
194,Bangladesh VS Netherlands,Bangladesh,Paul van Meekeren,4,0,21,2,5.25,10,1,0,0,0,T20I # 1843
195,Bangladesh VS Netherlands,Bangladesh,Bas de Leede,3,0,29,2,9.66,9,3,1,3,0,T20I # 1843
196,Bangladesh VS Netherlands,Bangladesh,Tim Pringle,2,0,10,1,5.00,4,0,0,0,0,T20I # 1843
197,Bangladesh VS Netherlands,Bangladesh,Shariz Ahmad,3,0,27,1,9.00,5,1,2,0,0,T20I # 1843
198,Bangladesh VS Netherlands,Bangladesh,Logan van Beek,3,0,12,1,4.00,7,0,0,1,0,T20I # 1843
199,Bangladesh VS Netherlands,Netherlands,Taskin Ahmed,4,0,25,4,6.25,16,5,0,0,0,T20I # 1843
200,Bangladesh VS Netherlands,Netherlands,Hasan Mahmud,4,1,15,2,3.75,16,2,0,0,0,T20I # 1843
201,Bangladesh VS Netherlands,Netherlands,Shakib Al Hasan,4,0,32,1,8.00,6,0,2,1,0,T20I # 1843
202,Bangladesh VS Netherlands,Netherlands,Mustafizur Rahman,4,0,20,0,5.00,14,2,0,2,0,T20I # 1843
203,Bangladesh VS Netherlands,Netherlands,Soumya Sarkar,3,0,29,1,9.66,5,2,1,1,0,T20I # 1843
204,Bangladesh VS Netherlands,Netherlands,Mosaddek Hossain,1,0,14,0,14.00,0,0,1,0,1,T20I # 1843
205,Zimbabwe VS South Africa,Zimbabwe,Kagiso Rabada,2,0,20,0,10.00,4,2,1,0,0,T20I # 1844
206,Zimbabwe VS South Africa,Zimbabwe,Wayne Parnell,2,0,6,1,3.00,9,1,0,0,0,T20I # 1844
207,Zimbabwe VS South Africa,Zimbabwe,Lungi Ngidi,2,0,20,2,10.00,6,2,1,2,0,T20I # 1844
208,Zimbabwe VS South Africa,Zimbabwe,Keshav Maharaj,1,0,10,0,10.00,1,1,0,0,0,T20I # 1844
209,Zimbabwe VS South Africa,Zimbabwe,Anrich Nortje,2,0,10,1,5.00,5,0,0,0,0,T20I # 1844
210,Zimbabwe VS South Africa,South Africa,Tendai Chatara,1,0,23,0,23.0,0,4,1,0,0,T20I # 1844
211,Zimbabwe VS South Africa,South Africa,Richard Ngarava,1,0,17,0,17.0,2,4,0,0,1,T20I # 1844
212,Zimbabwe VS South Africa,South Africa,Sikandar Raza,1,0,11,0,11.0,1,0,0,0,1,T20I # 1844
213,Sri Lanka VS Australia,Sri Lanka,Josh Hazlewood,4,0,26,1,6.50,13,3,0,3,0,T20I # 1845
214,Sri Lanka VS Australia,Sri Lanka,Pat Cummins,4,0,36,1,9.00,12,5,1,2,0,T20I # 1845
215,Sri Lanka VS Australia,Sri Lanka,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0,T20I # 1845
216,Sri Lanka VS Australia,Sri Lanka,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0,T20I # 1845
