,Full Name,Born,Batting Style,Bowling Style,Playing Role,Team,image_link,Name
0,Morawakage Maheesh Theekshana,"August 01, 2000, Colombo",Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,Maheesh Theekshana
1,Anrich Arno Nortje,16-Nov-93,Right hand Bat,Right arm Fast,Bowler,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322080.png",Anrich Nortje
2,Christopher Nicholas Greaves,12-Oct-90,Right hand Bat,Legbreak,Bowler,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/329700/329745.png",Chris Greaves
3,Ashton Charles Agar,"October 14, 1993, Melbourne, Victoria",Left hand Bat,Slow Left arm Orthodox,Bowler,WA Agar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321559.png",Ashton Agar
4,Milton Shumba,"October 19, 2000, Chitungwiza",Left hand Bat,Slow Left arm Orthodox,Top order Batter,Zimbabwe,https://drive.google.com/uc?export=view&id=1ExW9SW72zMaLijJHbfmPF3lbFF_dQC-m,Milton Shumba
5,Henry George Munsey,"February 21, 1993, Oxford",Left hand Bat,Right arm Medium fast,Opening Batter,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320300/320365.png",George Munsey
6,Tristan Stubbs,14-Aug-00,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/348500/348577.png",Tristan Stubbs
7,Mujeeb Ur Rahman,"March 28, 2001, Khost",Right hand Bat,Right arm Offbreak,Bowler,Noor Ali Zadran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320501.png",Mujeeb Ur Rahman
8,Lachlan Hammond Ferguson,"June 13, 1991, Auckland",Right hand Bat,Right arm Fast,Bowler,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321200/321239.png",Lockie Ferguson
10,Craig Richard Ervine,"August 19, 1985, Harare",Left hand Bat,Right arm Offbreak,Middle order Batter,SM Ervine,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,Craig Ervine
11,Muhammad Waseem,12-Feb-94,Right hand Bat,Right arm Medium,Opening Batter,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/348600/348612.4.jpg",Muhammad Waseem
12,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",Right hand Bat,Legbreak Googly,Bowler,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321549.png",Adam Zampa
