,match,bowling_team,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,match_id
0,Namibia VS Sri Lanka,Namibia,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0,T20I # 1823
1,Namibia VS Sri Lanka,Namibia,"14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6","14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6","14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6","14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6","14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6","14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6","14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6","14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6","14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6","14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6","14.2 to D Wiese, Big appeal for caught behind, and the finger goes up! Batter seems to have a discussion with the non-striker and eventually goes for the review. And ultra edge shows a healthy spike as the ball passes the bat, review lost, and that's the big wicket of David Wiese too.. 93/6",T20I # 1823
2,Namibia VS Sri Lanka,Namibia,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0,T20I # 1823
3,Namibia VS Sri Lanka,Namibia,"1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos","1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos","1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos","1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos","1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos","1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos","1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos","1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos","1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos","1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos","1.2 to M van Lingen, Massive top-edge and Chameera strikes second ball on return! Short of a good length on middle and leg, van Lingen looks for a pull, but the ball is not short enough. He gets a top-edge with the ball going to deep third, who takes a comfortable catch.. 6/1See all photos",T20I # 1823
4,Namibia VS Sri Lanka,Namibia,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0,T20I # 1823
5,Namibia VS Sri Lanka,Namibia,"2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos","2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos","2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos","2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos","2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos","2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos","2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos","2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos","2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos","2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos","2.6 to D la Cock, Leading edge and LA Cock departs! On a length, not a lot of shape but the batter is through the shot early. Closes the face of the bat just a touch as the ball catches the leading edge to balloon straight up. Shanaka stationed at mid-on takes a nice, easy catch and Sri Lanka are making inroads early.. 16/213.6 to SJ Baard, Great catch at deep backward square leg! It's a full toss, almost a waist high no-ball and Baard looks to whip this high towards deep backward square leg. Dhananjaya however does well to run around, and take a running catch to his right with the sun bearing down on his face.. 91/5See all photos",T20I # 1823
6,Namibia VS Sri Lanka,Namibia,Chamika Karunaratne,4,0,36,1,9.00,7,3,1,1,0,T20I # 1823
7,Namibia VS Sri Lanka,Namibia,"4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos","4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos","4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos","4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos","4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos","4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos","4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos","4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos","4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos","4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos","4.5 to JN Loftie-Eaton, WHAT A CATCH! Take a bow, Kusal Mendis! Slower off-cutter outside off, he looks for a drive on the up but is deceived by the slowness of it. The ball catches his outside edge and it seems will go past the keeper. But Mendis dives full-length to his left, almost behind him and just about catches it.. 35/3See all photos",T20I # 1823
8,Namibia VS Sri Lanka,Namibia,Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,0,0,T20I # 1823
9,Namibia VS Sri Lanka,Namibia,"11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4","11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4","11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4","11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4","11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4","11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4","11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4","11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4","11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4","11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4","11.5 to MG Erasmus, But this time he's chanced his arm one too many times! This was a gimme from Hasaranga, the short googly, but Erasmus is almost too eager to go at this and swings hard. Only manages a top edge straight to deep midwicket running in. A good partnership comes to an end.. 76/4",T20I # 1823
