,match,team_innings,batting_pos,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9,match_id
0,Namibia VS Sri Lanka,Namibia,0,Michael van Lingen,c Pramod Madushan b Chameera,3,6,7,0,0,50.00,,,T20I # 1823
1,Namibia VS Sri Lanka,Namibia,1,,,,,,,,,,,T20I # 1823
2,Namibia VS Sri Lanka,Namibia,2,Divan la Cock,c Shanaka b Pramod Madushan,9,9,15,1,0,100.00,,,T20I # 1823
3,Namibia VS Sri Lanka,Namibia,3,,,,,,,,,,,T20I # 1823
4,Namibia VS Sri Lanka,Namibia,4,Jan Nicol Loftie-Eaton,c †Mendis b Karunaratne,20,12,18,1,2,166.66,,,T20I # 1823
5,Namibia VS Sri Lanka,Namibia,5,,,,,,,,,,,T20I # 1823
6,Namibia VS Sri Lanka,Namibia,6,Stephan Baard,c DM de Silva b Pramod Madushan,26,24,49,2,0,108.33,,,T20I # 1823
7,Namibia VS Sri Lanka,Namibia,7,,,,,,,,,,,T20I # 1823
8,Namibia VS Sri Lanka,Namibia,8,Gerhard Erasmus (c),c Gunathilaka b PWH de Silva,20,24,30,0,0,83.33,,,T20I # 1823
9,Namibia VS Sri Lanka,Namibia,9,,,,,,,,,,,T20I # 1823
10,Namibia VS Sri Lanka,Namibia,10,Jan Frylinck,run out (Gunathilaka/†Mendis),44,28,44,4,0,157.14,,,T20I # 1823
11,Namibia VS Sri Lanka,Namibia,11,,,,,,,,,,,T20I # 1823
12,Namibia VS Sri Lanka,Namibia,12,David Wiese,c †Mendis b Theekshana,0,1,4,0,0,0.00,,,T20I # 1823
13,Namibia VS Sri Lanka,Namibia,13,,,,,,,,,,,T20I # 1823
14,Namibia VS Sri Lanka,Namibia,14,JJ Smit,not out,31,16,29,2,2,193.75,,,T20I # 1823
15,Namibia VS Sri Lanka,Namibia,15,Extras,"(b 1, w 9)",10,,,,,,,,T20I # 1823
16,Namibia VS Sri Lanka,Namibia,16,TOTAL,20 Ov (RR: 8.15),163/7,,,,,,,,T20I # 1823
17,Namibia VS Sri Lanka,Namibia,17,"Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo","Did not bat: Zane Green †, Bernard Scholtz, Ben Shikongo",,T20I # 1823
18,Namibia VS Sri Lanka,Namibia,18,"Fall of wickets: 1-6 (Michael van Lingen, 1.2 ov), 2-16 (Divan la Cock, 2.6 ov), 3-35 (Jan Nicol Loftie-Eaton, 4.5 ov), 4-76 (Gerhard Erasmus, 11.5 ov), 5-91 (Stephan Baard, 13.6 ov), 6-93 (David Wiese, 14.2 ov), 7-163 (Jan Frylinck, 19.6 ov)","Fall of wickets: 1-6 (Michael van Lingen, 1.2 ov), 2-16 (Divan la Cock, 2.6 ov), 3-35 (Jan Nicol Loftie-Eaton, 4.5 ov), 4-76 (Gerhard Erasmus, 11.5 ov), 5-91 (Stephan Baard, 13.6 ov), 6-93 (David Wiese, 14.2 ov), 7-163 (Jan Frylinck, 19.6 ov)","Fall of wickets: 1-6 (Michael van Lingen, 1.2 ov), 2-16 (Divan la Cock, 2.6 ov), 3-35 (Jan Nicol Loftie-Eaton, 4.5 ov), 4-76 (Gerhard Erasmus, 11.5 ov), 5-91 (Stephan Baard, 13.6 ov), 6-93 (David Wiese, 14.2 ov), 7-163 (Jan Frylinck, 19.6 ov)","Fall of wickets: 1-6 (Michael van Lingen, 1.2 ov), 2-16 (Divan la Cock, 2.6 ov), 3-35 (Jan Nicol Loftie-Eaton, 4.5 ov), 4-76 (Gerhard Erasmus, 11.5 ov), 5-91 (Stephan Baard, 13.6 ov), 6-93 (David Wiese, 14.2 ov), 7-163 (Jan Frylinck, 19.6 ov)","Fall of wickets: 1-6 (Michael van Lingen, 1.2 ov), 2-16 (Divan la Cock, 2.6 ov), 3-35 (Jan Nicol Loftie-Eaton, 4.5 ov), 4-76 (Gerhard Erasmus, 11.5 ov), 5-91 (Stephan Baard, 13.6 ov), 6-93 (David Wiese, 14.2 ov), 7-163 (Jan Frylinck, 19.6 ov)","Fall of wickets: 1-6 (Michael van Lingen, 1.2 ov), 2-16 (Divan la Cock, 2.6 ov), 3-35 (Jan Nicol Loftie-Eaton, 4.5 ov), 4-76 (Gerhard Erasmus, 11.5 ov), 5-91 (Stephan Baard, 13.6 ov), 6-93 (David Wiese, 14.2 ov), 7-163 (Jan Frylinck, 19.6 ov)","Fall of wickets: 1-6 (Michael van Lingen, 1.2 ov), 2-16 (Divan la Cock, 2.6 ov), 3-35 (Jan Nicol Loftie-Eaton, 4.5 ov), 4-76 (Gerhard Erasmus, 11.5 ov), 5-91 (Stephan Baard, 13.6 ov), 6-93 (David Wiese, 14.2 ov), 7-163 (Jan Frylinck, 19.6 ov)","Fall of wickets: 1-6 (Michael van Lingen, 1.2 ov), 2-16 (Divan la Cock, 2.6 ov), 3-35 (Jan Nicol Loftie-Eaton, 4.5 ov), 4-76 (Gerhard Erasmus, 11.5 ov), 5-91 (Stephan Baard, 13.6 ov), 6-93 (David Wiese, 14.2 ov), 7-163 (Jan Frylinck, 19.6 ov)","Fall of wickets: 1-6 (Michael van Lingen, 1.2 ov), 2-16 (Divan la Cock, 2.6 ov), 3-35 (Jan Nicol Loftie-Eaton, 4.5 ov), 4-76 (Gerhard Erasmus, 11.5 ov), 5-91 (Stephan Baard, 13.6 ov), 6-93 (David Wiese, 14.2 ov), 7-163 (Jan Frylinck, 19.6 ov)",,T20I # 1823
19,Namibia VS Sri Lanka,Sri Lanka,0,Pathum Nissanka,c Smit b Shikongo,9,10,16,1,0,90.00,,,T20I # 1823
20,Namibia VS Sri Lanka,Sri Lanka,1,,,,,,,,,,,T20I # 1823
21,Namibia VS Sri Lanka,Sri Lanka,2,Kusal Mendis †,c †Green b Wiese,6,6,8,0,0,100.00,,,T20I # 1823
22,Namibia VS Sri Lanka,Sri Lanka,3,,,,,,,,,,,T20I # 1823
23,Namibia VS Sri Lanka,Sri Lanka,4,Dhananjaya de Silva,c Shikongo b Frylinck,12,11,25,1,0,109.09,,,T20I # 1823
24,Namibia VS Sri Lanka,Sri Lanka,5,,,,,,,,,,,T20I # 1823
25,Namibia VS Sri Lanka,Sri Lanka,6,Danushka Gunathilaka,c †Green b Shikongo,0,1,2,0,0,0.00,,,T20I # 1823
26,Namibia VS Sri Lanka,Sri Lanka,7,,,,,,,,,,,T20I # 1823
27,Namibia VS Sri Lanka,Sri Lanka,8,Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,39,2,0,95.23,,,T20I # 1823
28,Namibia VS Sri Lanka,Sri Lanka,9,,,,,,,,,,,T20I # 1823
29,Namibia VS Sri Lanka,Sri Lanka,10,Dasun Shanaka (c),c †Green b Frylinck,29,23,37,2,1,126.08,,,T20I # 1823
30,Namibia VS Sri Lanka,Sri Lanka,11,,,,,,,,,,,T20I # 1823
31,Namibia VS Sri Lanka,Sri Lanka,12,Wanindu Hasaranga de Silva,c Loftie-Eaton b Scholtz,4,8,9,0,0,50.00,,,T20I # 1823
32,Namibia VS Sri Lanka,Sri Lanka,13,,,,,,,,,,,T20I # 1823
33,Namibia VS Sri Lanka,Sri Lanka,14,Chamika Karunaratne,c Baard b Smit,5,8,15,0,0,62.50,,,T20I # 1823
34,Namibia VS Sri Lanka,Sri Lanka,15,,,,,,,,,,,T20I # 1823
35,Namibia VS Sri Lanka,Sri Lanka,16,Pramod Madushan,run out (van Lingen/†Green),0,0,4,0,0,-,,,T20I # 1823
36,Namibia VS Sri Lanka,Sri Lanka,17,,,,,,,,,,,T20I # 1823
37,Namibia VS Sri Lanka,Sri Lanka,18,Dushmantha Chameera,c Erasmus b Wiese,8,15,20,0,0,53.33,,,T20I # 1823
38,Namibia VS Sri Lanka,Sri Lanka,19,,,,,,,,,,,T20I # 1823
39,Namibia VS Sri Lanka,Sri Lanka,20,Maheesh Theekshana,not out,11,11,14,0,1,100.00,,,T20I # 1823
40,Namibia VS Sri Lanka,Sri Lanka,21,Extras,"(lb 2, w 2)",4,,,,,,,,T20I # 1823
41,Namibia VS Sri Lanka,Sri Lanka,22,TOTAL,19 Ov (RR: 5.68),108,,,,,,,,T20I # 1823
42,Namibia VS Sri Lanka,Sri Lanka,23,"Fall of wickets: 1-12 (Kusal Mendis, 1.4 ov), 2-21 (Pathum Nissanka, 3.2 ov), 3-21 (Danushka Gunathilaka, 3.3 ov), 4-40 (Dhananjaya de Silva, 6.3 ov), 5-74 (Bhanuka Rajapaksa, 10.3 ov), 6-80 (Wanindu Hasaranga de Silva, 12.3 ov), 7-88 (Dasun Shanaka, 13.6 ov), 8-88 (Pramod Madushan, 14.2 ov), 9-92 (Chamika Karunaratne, 15.2 ov), 10-108 (Dushmantha Chameera, 18.6 ov)","Fall of wickets: 1-12 (Kusal Mendis, 1.4 ov), 2-21 (Pathum Nissanka, 3.2 ov), 3-21 (Danushka Gunathilaka, 3.3 ov), 4-40 (Dhananjaya de Silva, 6.3 ov), 5-74 (Bhanuka Rajapaksa, 10.3 ov), 6-80 (Wanindu Hasaranga de Silva, 12.3 ov), 7-88 (Dasun Shanaka, 13.6 ov), 8-88 (Pramod Madushan, 14.2 ov), 9-92 (Chamika Karunaratne, 15.2 ov), 10-108 (Dushmantha Chameera, 18.6 ov)","Fall of wickets: 1-12 (Kusal Mendis, 1.4 ov), 2-21 (Pathum Nissanka, 3.2 ov), 3-21 (Danushka Gunathilaka, 3.3 ov), 4-40 (Dhananjaya de Silva, 6.3 ov), 5-74 (Bhanuka Rajapaksa, 10.3 ov), 6-80 (Wanindu Hasaranga de Silva, 12.3 ov), 7-88 (Dasun Shanaka, 13.6 ov), 8-88 (Pramod Madushan, 14.2 ov), 9-92 (Chamika Karunaratne, 15.2 ov), 10-108 (Dushmantha Chameera, 18.6 ov)","Fall of wickets: 1-12 (Kusal Mendis, 1.4 ov), 2-21 (Pathum Nissanka, 3.2 ov), 3-21 (Danushka Gunathilaka, 3.3 ov), 4-40 (Dhananjaya de Silva, 6.3 ov), 5-74 (Bhanuka Rajapaksa, 10.3 ov), 6-80 (Wanindu Hasaranga de Silva, 12.3 ov), 7-88 (Dasun Shanaka, 13.6 ov), 8-88 (Pramod Madushan, 14.2 ov), 9-92 (Chamika Karunaratne, 15.2 ov), 10-108 (Dushmantha Chameera, 18.6 ov)","Fall of wickets: 1-12 (Kusal Mendis, 1.4 ov), 2-21 (Pathum Nissanka, 3.2 ov), 3-21 (Danushka Gunathilaka, 3.3 ov), 4-40 (Dhananjaya de Silva, 6.3 ov), 5-74 (Bhanuka Rajapaksa, 10.3 ov), 6-80 (Wanindu Hasaranga de Silva, 12.3 ov), 7-88 (Dasun Shanaka, 13.6 ov), 8-88 (Pramod Madushan, 14.2 ov), 9-92 (Chamika Karunaratne, 15.2 ov), 10-108 (Dushmantha Chameera, 18.6 ov)","Fall of wickets: 1-12 (Kusal Mendis, 1.4 ov), 2-21 (Pathum Nissanka, 3.2 ov), 3-21 (Danushka Gunathilaka, 3.3 ov), 4-40 (Dhananjaya de Silva, 6.3 ov), 5-74 (Bhanuka Rajapaksa, 10.3 ov), 6-80 (Wanindu Hasaranga de Silva, 12.3 ov), 7-88 (Dasun Shanaka, 13.6 ov), 8-88 (Pramod Madushan, 14.2 ov), 9-92 (Chamika Karunaratne, 15.2 ov), 10-108 (Dushmantha Chameera, 18.6 ov)","Fall of wickets: 1-12 (Kusal Mendis, 1.4 ov), 2-21 (Pathum Nissanka, 3.2 ov), 3-21 (Danushka Gunathilaka, 3.3 ov), 4-40 (Dhananjaya de Silva, 6.3 ov), 5-74 (Bhanuka Rajapaksa, 10.3 ov), 6-80 (Wanindu Hasaranga de Silva, 12.3 ov), 7-88 (Dasun Shanaka, 13.6 ov), 8-88 (Pramod Madushan, 14.2 ov), 9-92 (Chamika Karunaratne, 15.2 ov), 10-108 (Dushmantha Chameera, 18.6 ov)","Fall of wickets: 1-12 (Kusal Mendis, 1.4 ov), 2-21 (Pathum Nissanka, 3.2 ov), 3-21 (Danushka Gunathilaka, 3.3 ov), 4-40 (Dhananjaya de Silva, 6.3 ov), 5-74 (Bhanuka Rajapaksa, 10.3 ov), 6-80 (Wanindu Hasaranga de Silva, 12.3 ov), 7-88 (Dasun Shanaka, 13.6 ov), 8-88 (Pramod Madushan, 14.2 ov), 9-92 (Chamika Karunaratne, 15.2 ov), 10-108 (Dushmantha Chameera, 18.6 ov)","Fall of wickets: 1-12 (Kusal Mendis, 1.4 ov), 2-21 (Pathum Nissanka, 3.2 ov), 3-21 (Danushka Gunathilaka, 3.3 ov), 4-40 (Dhananjaya de Silva, 6.3 ov), 5-74 (Bhanuka Rajapaksa, 10.3 ov), 6-80 (Wanindu Hasaranga de Silva, 12.3 ov), 7-88 (Dasun Shanaka, 13.6 ov), 8-88 (Pramod Madushan, 14.2 ov), 9-92 (Chamika Karunaratne, 15.2 ov), 10-108 (Dushmantha Chameera, 18.6 ov)",,T20I # 1823
43,United Arab Emirates VS Netherlands,United Arab Emirates,0,Chirag Suri,c †Edwards b van der Merwe,12,20,28,1,0,60.00,,,T20I # 1825
44,United Arab Emirates VS Netherlands,United Arab Emirates,1,,,,,,,,,,,T20I # 1825
45,United Arab Emirates VS Netherlands,United Arab Emirates,2,Muhammad Waseem,c Pringle b Klaassen,41,47,71,1,2,87.23,,,T20I # 1825
46,United Arab Emirates VS Netherlands,United Arab Emirates,3,,,,,,,,,,,T20I # 1825
47,United Arab Emirates VS Netherlands,United Arab Emirates,4,Kashif Daud,b Pringle,15,14,19,0,1,107.14,,,T20I # 1825
48,United Arab Emirates VS Netherlands,United Arab Emirates,5,,,,,,,,,,,T20I # 1825
49,United Arab Emirates VS Netherlands,United Arab Emirates,6,Vriitya Aravind †,c Klaassen b de Leede,18,21,37,0,0,85.71,,,T20I # 1825
50,United Arab Emirates VS Netherlands,United Arab Emirates,7,,,,,,,,,,,T20I # 1825
51,United Arab Emirates VS Netherlands,United Arab Emirates,8,Zawar Farid,run out (Ackermann/†Edwards),2,4,8,0,0,50.00,,,T20I # 1825
52,United Arab Emirates VS Netherlands,United Arab Emirates,9,,,,,,,,,,,T20I # 1825
53,United Arab Emirates VS Netherlands,United Arab Emirates,10,Basil Hameed,c van der Merwe b de Leede,4,4,7,1,0,100.00,,,T20I # 1825
54,United Arab Emirates VS Netherlands,United Arab Emirates,11,,,,,,,,,,,T20I # 1825
55,United Arab Emirates VS Netherlands,United Arab Emirates,12,Chundangapoyil Rizwan (c),b de Leede,1,2,7,0,0,50.00,,,T20I # 1825
56,United Arab Emirates VS Netherlands,United Arab Emirates,13,,,,,,,,,,,T20I # 1825
57,United Arab Emirates VS Netherlands,United Arab Emirates,14,Aayan Afzal Khan,c Cooper b Klaassen,5,7,8,0,0,71.42,,,T20I # 1825
58,United Arab Emirates VS Netherlands,United Arab Emirates,15,,,,,,,,,,,T20I # 1825
59,United Arab Emirates VS Netherlands,United Arab Emirates,16,Karthik Meiyappan,not out,0,0,4,0,0,-,,,T20I # 1825
60,United Arab Emirates VS Netherlands,United Arab Emirates,17,Junaid Siddique,not out,0,1,1,0,0,0.00,,,T20I # 1825
61,United Arab Emirates VS Netherlands,United Arab Emirates,18,Extras,"(b 1, lb 6, w 6)",13,,,,,,,,T20I # 1825
